SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,21549000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012999,除税后溢利,21549000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025001,少数股东损益,1234000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,20315000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,6.98
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,6.89
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,-1536000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030999,其他全面收益,-1536000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004039999,全面收益总额,20013000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,1139000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,18874000000.0
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004099999,非运算项目,-168786999889.09
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001001,营业额,74711000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001002,其他营业收入,48964000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001999,营运收入,123675000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004005002,销售成本,63935000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004007999,毛利,59740000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010003,销售及分销费用,20514000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010010,研发费用,23315000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010999,经营溢利,15911000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011200,利息收入,6245000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011201,融资成本,2913000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011997,溢利其他项目,-9131000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011999,除税前溢利,10112000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012001,税项,2578000000.0
