SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004027999,少数股东权益,19992000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004028999,净资产,283612000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004030997,股东权益其他项目,263620000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004030999,股东权益,263620000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004036999,总权益,283612000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,346827000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,427780000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004060999,非运算项目,273742000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001001,固定资产,27960000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001004,无形资产,7848000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001005,商誉,22586000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,2100000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001010,预付款项,13198000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001011,长期应收款,195000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001017,长期投资,47957000000.0,2023-12-31 00:00:00
